animal,session,start,duration_s,crosses_midnight,pc_steps_inside,mid_anchor_resid_ms,n_anchors,n_garbage_dropped,n_native_start,n_native_end,start_delay_ms,off_start_ms,n_borrowed,borrowed_from,gap_to_next_s,n_kept,drift_native_ppm,drift_native_sem_ppm,native_residual_ms,tail_extrap_h,tail_extrap_unc_ms,drift_chained_ppm,chain_unc_ppm,chain_span_s,start_vs_prev_ms,end_vs_next_ms,verdict,step_note
SF07,1_20260903_075030.323,2026-09-03 07:50:30.323,34.291,False,,,8,0,8,8,497,746,17,next:17,9.7,,,,,,,-83.5,19032.1,78.8,+664,-9,OK-chained,
SF07,2_20260903_075114.355,2026-09-03 07:51:14.355,32130.56,False,2026-09-03 13:56:01:+1.280s@21887s,6.63h:-42 6.63h:+76 6.63h:-21 6.63h:-192 6.64h:-79 6.64h:-1850 6.64h:-3244 6.64h:-640 6.64h:-376 6.64h:-59 6.64h:-120 6.65h:-240 6.65h:-152 6.65h:-33 6.65h:-902 6.65h:-106 6.65h:+42 6.65h:+61 6.66h:-629 6.66h:-387 6.66h:-11 6.66h:-208 6.66h:-136 6.66h:+73 6.66h:+42 6.67h:+59 6.67h:+67 6.67h:+95 6.67h:+43 6.67h:+72 6.67h:+96 6.67h:+70 6.68h:+44 6.68h:+82 6.68h:+40 6.68h:+53 6.68h:+79 6.90h:+55,59,0,17,4,261,737,0,,83.9,51,-22.7,1.0,80.6,,,,,0.0,-9,+771,OK-native (PC step modelled),
SF07,3_20260903_164808.815,2026-09-03 16:48:08.815,1198.592,False,,,14,0,14,0,1775,849,0,,597.4,,,,,,,,,0.0,+771,,one-end-only,
SF07,4_20260903_171804.804,2026-09-03 17:18:04.804,8.87,False,,,2,0,2,2,984,1453,0,,1969.9,,,,,,,,,0.0,,-817,one-end-only,
SF07,5_20260903_175103.583,2026-09-03 17:51:03.583,32.781,False,,,7,0,7,7,1196,636,15,next:15,8.0,,,,,,,-0.0,20600.1,72.8,-818,-0,OK-chained,
SF07,6_20260903_175144.375,2026-09-03 17:51:44.375,49140.89,True,,6.10h:+15 6.10h:-38 6.11h:-29 6.11h:-16 6.11h:+6 6.11h:-27 6.11h:-16 6.11h:+18 6.11h:-201 6.12h:-660 6.12h:-26 6.12h:-306 6.12h:-217 6.12h:-245,43,0,15,14,1948,636,0,,2293.0,38,-21.5,0.1,16.0,,,,,0.0,-0,+970,OK-native,
SF07,7_20260904_080858.239,2026-09-04 08:08:58.239,31.155,False,,,7,0,7,7,33,552,15,next:15,7.0,,,,,,,-104.6,22679.7,66.1,+970,-6,OK-chained,
SF07,8_20260904_080936.435,2026-09-04 08:09:36.435,19850.637,False,,5.51h:-13,42,0,15,26,1963,546,0,,1150.3,41,-18.9,0.5,26.6,0.94,1.8,,,0.0,-6,,"OK-native [last touch 4.6 h, tail 0.9 h extrapolated]",
SF07,9_20260904_135937.346,2026-09-04 13:59:37.346,31.386,False,,,7,0,7,7,1389,193,8,next:8,7.2,,,,,,,75.1,30059.3,49.9,+39,+4,OK-chained,
SF07,10_20260904_140015.895,2026-09-04 14:00:15.895,31.36,False,,,8,0,8,8,677,197,17,next:17,7.2,,,,,,,-874.1,20296.8,73.9,+4,-65,OK-chained,
SF07,11_20260904_140054.476,2026-09-04 14:00:54.476,19658.931,False,,2.16h:+57 2.16h:-79 2.16h:-79 2.17h:+58 2.17h:-78 2.17h:+27 2.17h:+47 2.17h:+18 2.17h:+34 2.17h:+55 2.18h:+22 2.18h:+37 2.18h:+49 2.18h:+13 2.18h:+26 2.18h:+56 2.18h:+8 2.19h:+39 2.19h:-6 2.19h:+26 2.19h:+50 2.19h:+47 2.19h:+18 2.19h:+37 2.20h:+48 2.20h:+6 2.20h:+31 2.20h:-70 2.20h:-64 2.20h:-8 2.20h:+8 2.21h:+25 2.21h:-62 2.21h:+5 2.21h:+5 2.21h:+41 2.21h:+24 2.21h:+26 2.21h:+56 2.22h:+24 2.22h:-75 2.22h:+57 2.22h:+24 2.22h:+25 2.22h:+44 2.22h:+5 2.23h:+26 2.23h:-25 2.23h:+23 2.23h:+29 2.23h:-9 2.23h:+23 2.23h:+31 2.24h:+46 2.24h:-76 2.24h:+38 2.24h:+45 2.24h:+8 2.24h:-128 2.24h:+46 2.25h:-73 2.25h:+37 2.25h:+48 2.25h:+6 2.25h:+34 2.25h:+59 2.25h:+26 2.26h:+4 2.26h:+24 2.26h:+33 2.26h:+41 2.26h:-121 2.26h:-72 2.26h:-84 2.26h:+25 2.27h:+35 2.27h:-69 2.27h:+24 2.27h:+34 2.27h:+49 2.27h:+31 2.27h:+31 2.28h:-66 2.28h:-49 2.28h:+23 2.28h:-66 2.28h:+61 2.28h:+49 2.28h:-7 2.29h:-34 2.29h:+48 2.29h:-63 2.29h:-91 2.29h:-80 2.35h:+51 3.75h:+15 3.75h:+35 3.75h:+28 3.75h:+32 3.75h:-153 3.75h:+40 3.75h:+39 3.75h:+48 3.76h:+17 3.76h:+41 3.76h:-103 3.76h:+47 3.76h:-99 3.76h:+12 3.76h:+34 3.77h:-9,142,0,17,14,0,133,0,,1395.6,141,-19.5,0.9,53.3,,,,,0.0,-65,+484,OK-native,
SF07,12_20260904_195148.989,2026-09-04 19:51:48.989,8.0,False,,,3,0,3,3,100,241,0,,1546.0,,,,,,,,,0.0,+484,+729,one-end-only,
SF07,13_20260904_201742.999,2026-09-04 20:17:42.999,32.717,False,,,8,0,8,8,2054,970,13,next:13,9.7,,,,,,,-22.0,20670.1,72.6,+729,-2,OK-chained,
SF07,14_20260904_201825.406,2026-09-04 20:18:25.406,44232.55,True,,4.29h:+47 4.29h:+30 4.29h:+56 4.29h:+22 4.29h:+38 4.30h:+51 4.30h:+13 4.30h:+32 4.30h:+2 4.30h:+21 4.30h:+29 4.30h:+58 4.30h:-48 4.31h:-88 4.31h:+4 4.31h:-37 4.31h:+32 10.80h:+43 10.80h:-130 10.80h:-6 10.80h:+84 10.81h:-61 10.81h:+79 10.81h:-167 10.81h:-56 10.81h:-176 10.81h:-129 10.81h:-49 10.82h:+33 10.82h:-65 10.82h:-43 10.82h:-130 10.82h:+55 10.82h:-49 10.82h:+83 10.83h:+56 10.83h:-45 10.83h:+82 11.71h:+90 11.71h:+77 11.71h:-56 11.71h:+60 11.71h:-125 11.72h:-117 11.72h:-46 11.72h:+40 11.72h:-111 11.72h:-46 11.72h:+61 11.72h:-95 11.73h:+73 11.73h:-8 11.73h:+65 12.21h:+74 12.21h:-50 12.21h:-154 12.22h:-31 12.22h:-46 12.22h:-101 12.22h:+104 12.22h:-46 12.22h:-89 12.22h:+63 12.23h:-47 12.23h:-31 12.23h:+45 12.23h:+68 12.23h:-33 12.23h:-27 12.23h:-44 12.23h:-30 12.24h:+52 12.24h:-114,100,0,13,14,2535,968,0,,1240.5,100,-23.7,0.4,69.5,,,,,0.0,-2,,OK-native,
SF07,0_20260905_085618.431,2026-09-05 08:56:18.431,17.741,False,,,436,0,436,436,59,,0,,2134.6,,,,,,,,,0.0,,,corrupt,
SF07,1_20260905_093210.807,2026-09-05 09:32:10.807,52.07,False,,,11,0,11,11,1966,696,15,next:15,7.4,,,,,,,-172.2,17031.6,88.1,,-12,OK-chained,
SF07,2_20260905_093310.289,2026-09-05 09:33:10.289,13349.862,False,,,30,0,15,15,0,683,0,,409.2,29,-26.7,1.6,53.5,,,,,0.0,-12,-1292,OK-native,
SF07,3_20260905_132229.331,2026-09-05 13:22:29.331,4.723,False,,,2,0,2,2,722,-971,0,,302.5,,,,,,,,,0.0,,+1053,one-end-only,
