animal,time,session,hours_since_move1,hours_since_move2,log_gamma_median,log_gamma_shank1_median,log_gamma_shank2_median,log_gamma_shank3_median,log_gamma_shank4_median,log_gamma_r_vs_ref1,log_gamma_shift_vs_ref1,log_gamma_shank_r_vs_ref1,log_gamma_r_vs_ref2,log_gamma_shift_vs_ref2,log_gamma_shank_r_vs_ref2,log_ripple_median,log_ripple_shank1_median,log_ripple_shank2_median,log_ripple_shank3_median,log_ripple_shank4_median,log_ripple_r_vs_ref1,log_ripple_shift_vs_ref1,log_ripple_shank_r_vs_ref1,log_ripple_r_vs_ref2,log_ripple_shift_vs_ref2,log_ripple_shank_r_vs_ref2,log_theta_median,log_theta_shank1_median,log_theta_shank2_median,log_theta_shank3_median,log_theta_shank4_median,log_theta_r_vs_ref1,log_theta_shift_vs_ref1,log_theta_shank_r_vs_ref1,log_theta_r_vs_ref2,log_theta_shift_vs_ref2,log_theta_shank_r_vs_ref2,mua_rate_hz_median,mua_rate_hz_shank1_median,mua_rate_hz_shank2_median,mua_rate_hz_shank3_median,mua_rate_hz_shank4_median,mua_rate_hz_r_vs_ref1,mua_rate_hz_shift_vs_ref1,mua_rate_hz_shank_r_vs_ref1,mua_rate_hz_r_vs_ref2,mua_rate_hz_shift_vs_ref2,mua_rate_hz_shank_r_vs_ref2,spike_band_mad_adc_median,spike_band_mad_adc_shank1_median,spike_band_mad_adc_shank2_median,spike_band_mad_adc_shank3_median,spike_band_mad_adc_shank4_median,spike_band_mad_adc_r_vs_ref1,spike_band_mad_adc_shift_vs_ref1,spike_band_mad_adc_shank_r_vs_ref1,spike_band_mad_adc_r_vs_ref2,spike_band_mad_adc_shift_vs_ref2,spike_band_mad_adc_shank_r_vs_ref2
SF11,2026-09-04 23:30,12_20260904_202856.246,9.55,-15.69,2.833,2.788,2.84,2.839,2.84,0.941,+0 +0 +0 +0,+0.99 +0.97 +0.95 +0.99,0.74,+0 +0 +0 +0,+0.98 +0.96 +0.56 +0.90,2.21,2.184,2.21,2.199,2.217,0.684,+0 +0 +0 +0,+0.87 +0.82 +0.77 +0.69,0.503,+0 +0 +0 +0,+0.57 +0.70 +0.61 +0.65,4.454,4.458,4.53,4.346,4.457,0.745,+0 +0 +0 +0,+0.93 +0.88 +0.72 +0.96,0.504,+0 +0 -1 +0,+0.91 +0.75 +0.26 +0.77,0.702,0.726,0.703,0.674,0.704,0.706,+0 +0 +0 +0,+0.23 +0.81 +0.87 +0.53,0.585,+0 +0 +0 +0,+0.51 +0.89 +0.33 +0.49,80.94,77.304,81.667,81.047,85.576,0.723,+0 +0 +0 +0,+0.83 +0.72 +0.65 +0.70,0.737,+0 +0 +0 +0,+0.52 +0.93 +0.79 +0.75
SF11,2026-09-05 00:30,12_20260904_202856.246,10.55,-14.69,2.721,2.684,2.761,2.68,2.715,0.975,+0 +0 +0 +0,+0.99 +0.98 +0.98 +0.98,0.809,+0 +0 +0 +0,+0.97 +0.99 +0.62 +0.88,1.235,1.184,1.256,1.207,1.274,0.922,+0 +0 +0 +0,+0.94 +0.93 +0.96 +0.90,0.863,+0 +0 +0 +0,+0.81 +0.86 +0.88 +0.89,4.801,4.745,4.81,4.779,4.809,0.968,+0 +0 +0 +0,+0.96 +0.92 +0.99 +0.70,0.767,+0 +0 +0 +0,+0.79 +0.93 +0.74 +0.54,-1.162,-1.464,-1.358,-1.569,-0.271,-0.047,+1 -3 -3 +1,+0.01 -0.32 +0.22 -0.38,0.085,-2 -3 +0 +1,-0.13 -0.51 +0.41 +0.28,49.341,46.219,49.017,51.994,51.801,0.852,+0 +0 +0 +0,+0.69 +0.74 +0.90 +0.88,0.806,+1 +0 +0 +0,+0.53 +0.90 +0.73 +0.83
SF11,2026-09-05 01:30,12_20260904_202856.246,11.55,-13.69,2.81,2.779,2.815,2.803,2.814,0.902,+0 +0 +0 +0,+0.95 +0.95 +0.90 +0.99,0.715,+0 +0 +0 +0,+0.98 +0.94 +0.48 +0.89,2.175,2.158,2.179,2.163,2.182,0.66,+0 +0 +0 +0,+0.81 +0.72 +0.75 +0.83,0.491,+0 +0 +0 +0,+0.50 +0.63 +0.59 +0.76,4.522,4.552,4.59,4.402,4.522,0.706,+0 +0 +0 +0,+0.89 +0.89 +0.67 +0.96,0.473,+0 +0 -1 +0,+0.92 +0.77 +0.19 +0.79,0.701,0.732,0.695,0.653,0.694,0.61,+3 -2 +0 +0,+0.11 +0.41 +0.75 +0.55,0.452,+1 +0 -2 +3,+0.20 +0.58 +0.30 +0.17,94.614,92.304,95.923,94.081,100.258,0.562,+0 -2 +0 +0,+0.70 +0.29 +0.43 +0.79,0.588,+0 +0 +0 +0,+0.36 +0.53 +0.70 +0.71
SF11,2026-09-05 02:30,12_20260904_202856.246,12.55,-12.69,2.812,2.77,2.82,2.815,2.824,0.937,+0 +0 +0 +0,+0.99 +0.97 +0.94 +0.99,0.737,+0 +0 +0 +0,+0.97 +0.95 +0.55 +0.88,2.172,2.145,2.174,2.158,2.182,0.718,+0 +0 +0 +0,+0.84 +0.78 +0.79 +0.80,0.52,+0 +0 +0 +0,+0.53 +0.64 +0.62 +0.70,4.499,4.501,4.585,4.394,4.504,0.75,+0 +0 +0 +0,+0.94 +0.88 +0.72 +0.96,0.503,+0 +0 -1 +0,+0.89 +0.75 +0.26 +0.78,0.887,0.941,0.91,0.811,0.883,0.632,+0 +0 +0 +0,+0.19 +0.71 +0.68 +0.66,0.513,+0 +0 -2 +0,+0.50 +0.93 +0.22 +0.41,71.059,67.561,72.081,71.687,75.288,0.803,+0 +0 +0 +0,+0.71 +0.67 +0.68 +0.87,0.76,+1 +0 +0 +0,+0.41 +0.93 +0.85 +0.76
SF11,2026-09-05 03:30,12_20260904_202856.246,13.55,-11.69,2.805,2.768,2.817,2.795,2.809,0.949,+0 +0 +0 +0,+0.99 +0.97 +0.94 +0.98,0.758,+0 +0 +0 +0,+0.97 +0.96 +0.54 +0.85,2.227,2.201,2.231,2.211,2.235,0.681,+0 +0 +0 +0,+0.84 +0.86 +0.80 +0.62,0.48,+0 +0 +0 +0,+0.52 +0.81 +0.61 +0.49,4.34,4.341,4.411,4.279,4.343,0.784,+0 +0 +0 +0,+0.93 +0.87 +0.80 +0.96,0.533,+0 +0 +0 +0,+0.88 +0.74 +0.35 +0.72,0.86,0.892,0.867,0.827,0.856,0.664,+0 +0 +0 +0,+0.28 +0.74 +0.81 +0.48,0.596,+0 +0 +0 +0,+0.52 +0.89 +0.35 +0.61,88.441,86.229,89.514,87.053,92.315,0.713,+0 +0 +0 +0,+0.69 +0.70 +0.61 +0.83,0.651,-3 +0 +0 +0,+0.30 +0.93 +0.76 +0.62
SF11,2026-09-05 04:30,12_20260904_202856.246,14.55,-10.69,2.652,2.616,2.686,2.596,2.649,0.952,+0 +0 +0 +0,+0.98 +0.98 +0.95 +0.98,0.826,+0 +0 +0 +0,+0.98 +0.97 +0.67 +0.88,1.343,1.297,1.362,1.288,1.37,0.781,+0 +0 +0 +0,+0.90 +0.86 +0.88 +0.75,0.641,+0 +0 +0 +0,+0.71 +0.77 +0.70 +0.75,4.81,4.778,4.822,4.769,4.842,0.931,+0 +0 +0 +0,+0.95 +0.90 +0.95 +0.60,0.811,+0 +0 +0 +0,+0.84 +0.87 +0.75 +0.35,-0.952,-1.233,-1.109,-1.031,-0.654,-0.086,+1 -3 +1 +1,-0.09 -0.25 +0.18 -0.37,0.114,-2 -3 +0 +0,+0.14 -0.35 +0.38 +0.44,44.589,42.247,45.449,44.622,46.251,0.71,+0 +0 +0 +0,+0.52 +0.70 +0.73 +0.83,0.641,+0 +0 +0 +0,+0.52 +0.85 +0.31 +0.86
SF11,2026-09-05 05:30,12_20260904_202856.246,15.55,-9.69,2.676,2.626,2.718,2.621,2.672,0.946,+0 +0 +0 +0,+0.98 +0.98 +0.97 +0.89,0.761,+0 +0 +0 +0,+0.96 +0.97 +0.58 +0.81,1.226,1.175,1.257,1.194,1.281,0.795,+0 +0 +0 +0,+0.92 +0.82 +0.84 +0.79,0.691,+0 +0 +0 +0,+0.74 +0.82 +0.67 +0.80,4.726,4.683,4.747,4.677,4.731,0.947,+0 +0 +0 +1,+0.95 +0.84 +0.98 +0.39,0.803,+0 +0 +0 +0,+0.81 +0.85 +0.75 +0.30,0.413,0.443,0.369,0.431,0.417,0.53,+0 +0 +0 +2,+0.40 +0.73 +0.78 +0.07,0.667,-2 +0 +0 +0,+0.36 +0.90 +0.57 +0.89,53.462,50.578,55.583,53.46,55.92,0.732,+0 +0 +0 +0,+0.67 +0.73 +0.77 +0.75,0.655,-3 +0 +0 +0,+0.40 +0.90 +0.54 +0.80
SF11,2026-09-05 06:30,12_20260904_202856.246,16.55,-8.69,2.709,2.663,2.731,2.7,2.711,0.946,+0 +0 +0 +0,+0.97 +0.98 +0.95 +0.90,0.813,+0 +0 +0 +0,+0.98 +0.98 +0.69 +0.89,1.198,1.153,1.203,1.197,1.247,0.887,+0 +0 +0 +0,+0.81 +0.80 +0.98 +0.88,0.94,+0 +0 +0 +0,+0.88 +0.96 +0.95 +0.95,4.713,4.687,4.751,4.684,4.734,0.96,+0 +0 +0 +0,+0.93 +0.96 +0.98 +0.94,0.765,+0 +0 +0 +0,+0.95 +0.92 +0.66 +0.87,-1.023,-1.162,-1.358,-0.891,-0.767,-0.235,-1 -3 -3 -2,-0.07 -0.49 +0.10 -0.41,-0.001,-2 -3 +0 +1,+0.05 -0.60 +0.43 +0.36,45.349,42.535,46.007,47.074,46.969,0.749,+0 +0 +0 +0,+0.55 +0.68 +0.88 +0.63,0.807,+0 +0 +0 +0,+0.58 +0.92 +0.67 +0.90
SF11,2026-09-05 07:30,12_20260904_202856.246,17.55,-7.69,2.65,2.617,2.699,2.618,2.647,0.879,+0 +0 +0 +0,+0.99 +0.98 +0.84 +0.95,0.931,+0 +0 +0 +0,+0.96 +0.98 +0.91 +0.92,1.142,1.109,1.174,1.14,1.21,0.907,+0 +0 +0 +0,+0.92 +0.90 +0.96 +0.88,0.922,+0 +0 +0 +0,+0.86 +0.96 +0.93 +0.96,4.75,4.714,4.782,4.724,4.76,0.893,+0 +0 +0 +0,+0.98 +0.95 +0.87 +0.85,0.925,+0 +0 +0 +0,+0.90 +0.99 +0.91 +0.88,-0.551,-0.551,-0.526,-0.558,-0.418,0.125,+1 -3 +0 -2,+0.12 +0.23 +0.39 -0.31,0.433,-2 -3 +0 +0,+0.23 +0.35 +0.57 +0.50,45.413,43.198,46.257,50.04,48.268,0.692,+0 +0 +0 +0,+0.49 +0.75 +0.68 +0.62,0.852,+0 +0 +0 +0,+0.66 +0.93 +0.79 +0.93
SF11,2026-09-05 08:30,12_20260904_202856.246,18.55,-6.69,2.666,2.635,2.706,2.624,2.663,0.89,+0 +0 +0 +0,+0.99 +0.98 +0.83 +0.97,0.94,+0 +0 +0 +0,+0.97 +0.98 +0.91 +0.91,1.164,1.126,1.171,1.159,1.211,0.914,+0 +0 +0 +0,+0.94 +0.91 +0.95 +0.87,0.908,+0 +0 +0 +0,+0.83 +0.93 +0.92 +0.94,4.739,4.704,4.754,4.704,4.751,0.879,+0 +0 +0 +0,+0.96 +0.86 +0.86 +0.49,0.927,+0 +0 +0 +0,+0.87 +0.94 +0.92 +0.82,-1.216,-1.287,-1.464,-1.216,-0.543,-0.143,+2 -3 -3 -2,+0.17 -0.29 +0.18 -0.43,0.069,-2 -3 +0 +1,-0.08 -0.36 +0.47 +0.34,45.01,41.672,45.446,49.411,46.449,0.727,+0 +0 +0 +0,+0.65 +0.71 +0.69 +0.67,0.856,+0 +0 +0 +0,+0.68 +0.95 +0.77 +0.94
SF11,2026-09-05 10:30,3_20260905_094205.930,20.55,-4.69,2.681,2.65,2.709,2.634,2.674,0.841,+0 +0 +0 +0,+0.98 +0.98 +0.72 +0.97,0.985,+0 +0 +0 +0,+0.99 +0.99 +0.99 +0.94,1.241,1.233,1.234,1.236,1.302,0.877,+0 +0 +0 +0,+0.90 +0.92 +0.88 +0.85,0.918,+0 +0 +0 +0,+0.85 +0.95 +0.92 +0.95,4.746,4.726,4.746,4.711,4.767,0.818,+0 +0 +0 +0,+0.96 +0.90 +0.79 +0.34,0.972,+0 +0 +0 +0,+0.92 +0.95 +0.99 +0.74,-0.071,-0.058,-0.076,-0.051,-0.08,0.307,+2 +0 +0 -2,+0.29 +0.51 +0.52 -0.14,0.699,+0 +0 +0 +0,+0.81 +0.69 +0.86 +0.64,48.942,46.477,49.651,51.691,51.337,0.722,+0 +0 +0 +0,+0.35 +0.75 +0.72 +0.68,0.904,+0 +0 +0 +0,+0.82 +0.94 +0.87 +0.95
SF11,2026-09-05 11:30,3_20260905_094205.930,21.55,-3.69,2.703,2.668,2.736,2.669,2.699,0.839,+0 +0 +0 +0,+0.98 +0.98 +0.72 +0.90,0.988,+0 +0 +0 +0,+0.99 +0.99 +0.99 +0.93,1.184,1.174,1.199,1.183,1.266,0.88,+0 +0 +0 +0,+0.81 +0.85 +0.95 +0.89,0.967,+0 +0 +0 +0,+0.89 +0.95 +0.99 +0.98,4.819,4.788,4.826,4.815,4.829,0.794,+0 +0 +0 +1,+0.93 +0.75 +0.76 -0.22,0.962,+0 +0 +0 +0,+0.86 +0.88 +0.99 +0.24,-0.957,-1.19,-0.813,-1.287,-0.722,-0.055,+2 -3 +0 -2,+0.11 -0.36 +0.26 -0.36,0.178,-2 -3 +0 +1,+0.09 -0.58 +0.53 +0.31,46.393,43.438,48.299,48.245,48.755,0.611,+2 +0 +0 +0,+0.07 +0.61 +0.68 +0.67,0.87,+0 +0 +0 +0,+0.86 +0.81 +0.95 +0.96
SF11,2026-09-05 12:30,3_20260905_094205.930,22.55,-2.69,2.725,2.696,2.751,2.718,2.71,0.501,+0 +0 -3 +0,+0.96 +0.98 +0.06 +0.91,0.615,+0 +0 +2 +0,+1.00 +0.99 +0.36 +0.96,1.306,1.285,1.286,1.363,1.343,0.616,+0 +0 +0 +0,+0.79 +0.88 +0.39 +0.90,0.773,+0 +0 +0 +0,+0.95 +0.99 +0.49 +0.99,4.74,4.733,4.749,4.725,4.746,0.584,+0 +0 +0 +0,+0.94 +0.97 +0.39 +0.74,0.843,+0 +0 +0 +0,+0.99 +0.98 +0.80 +0.95,-1.109,-1.216,-1.162,-1.155,-0.871,-0.016,+1 -3 +0 -2,-0.03 -0.20 +0.38 -0.38,0.208,-2 -3 +0 +1,-0.11 -0.38 +0.61 +0.32,46.015,43.066,45.965,47.827,47.232,0.646,+2 +0 +0 +0,+0.17 +0.81 +0.64 +0.61,0.926,+0 +0 +0 +0,+0.87 +0.98 +0.90 +0.91
SF11,2026-09-05 13:30,3_20260905_094205.930,23.55,-1.69,2.708,2.688,2.741,2.682,2.701,0.832,+0 +0 +0 +0,+0.97 +0.99 +0.70 +0.90,0.996,+0 +0 +0 +0,+1.00 +1.00 +1.00 +0.99,1.285,1.277,1.289,1.277,1.304,0.865,+0 +0 +0 +0,+0.80 +0.89 +0.94 +0.89,0.977,+0 +0 +0 +0,+0.96 +0.99 +0.99 +0.96,4.611,4.609,4.637,4.57,4.632,0.843,+0 +0 +0 +0,+0.95 +0.97 +0.78 +0.94,0.993,+0 +0 +0 +0,+0.99 +0.97 +1.00 +0.92,-1.066,-1.109,-1.066,-1.124,-0.508,0.04,+1 -3 +0 -2,+0.01 -0.17 +0.33 -0.22,0.252,+2 -3 +0 +0,+0.03 -0.35 +0.67 +0.43,47.3,45.246,47.254,48.588,48.634,0.651,+2 +0 +0 +0,+0.35 +0.81 +0.67 +0.58,0.964,+0 +0 +0 +0,+0.95 +0.99 +0.97 +0.94
SF11,2026-09-05 14:30,3_20260905_094205.930,24.55,-0.69,2.678,2.665,2.723,2.648,2.675,0.829,+0 +0 +0 +0,+0.97 +0.99 +0.69 +0.91,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,1.235,1.221,1.236,1.238,1.307,0.884,+0 +0 +0 +0,+0.84 +0.87 +0.93 +0.92,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,4.643,4.641,4.674,4.599,4.655,0.824,+0 +0 +0 +0,+0.92 +0.96 +0.75 +0.81,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.87,0.928,0.867,0.819,0.886,0.576,+2 +0 +0 +2,+0.01 +0.79 +0.59 +0.38,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,53.892,51.852,53.591,55.149,56.656,0.719,+2 +0 +0 +0,+0.35 +0.82 +0.74 +0.72,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00
SF11,2026-09-05 15:30,7_20260905_151133.499,25.55,0.31,2.746,2.708,2.761,2.739,2.745,0.178,+0 +0 -2 +0,+0.96 +0.99 -0.35 +0.97,0.198,+0 +0 +2 +0,+0.99 +0.98 -0.17 +0.96,1.492,1.475,1.475,1.571,1.507,0.459,+0 +0 +2 +0,+0.86 +0.94 +0.06 +0.94,0.531,+0 +0 +2 +0,+0.85 +0.92 +0.09 +0.98,4.672,4.657,4.675,4.66,4.683,0.229,+0 +0 -3 +0,+0.97 +0.97 -0.05 +0.83,0.473,+0 +0 +0 +0,+0.96 +0.93 +0.40 +0.94,0.806,0.802,0.803,0.865,0.806,-0.345,+3 +0 -2 -2,-0.01 +0.60 -0.60 +0.53,-0.366,+0 +0 -2 +0,+0.82 +0.88 -0.74 +0.74,68.136,66.625,68.302,69.643,72.745,0.781,-2 +0 +0 +0,+0.40 +0.76 +0.74 +0.86,0.934,+0 +0 +0 +0,+0.94 +0.98 +0.91 +0.96
SF11,2026-09-05 16:30,7_20260905_151133.499,26.55,1.31,2.751,2.73,2.785,2.714,2.748,0.845,+0 +0 +0 +0,+0.97 +0.98 +0.72 +0.97,0.992,+0 +0 +0 +0,+0.99 +1.00 +0.99 +0.95,1.23,1.213,1.22,1.229,1.252,0.87,+0 +0 +0 +0,+0.79 +0.85 +0.93 +0.95,0.971,+0 +0 +0 +0,+0.97 +0.99 +0.99 +0.95,4.853,4.853,4.871,4.811,4.874,0.844,+0 +0 +0 +0,+0.95 +0.97 +0.78 +0.92,0.98,+0 +0 +0 +0,+0.98 +0.91 +0.99 +0.94,-0.278,-0.272,-0.292,-0.326,-0.18,0.376,+1 +0 +0 -2,-0.12 +0.32 +0.46 +0.09,0.636,-2 +0 +0 +0,+0.28 +0.34 +0.83 +0.50,47.837,45.413,47.611,49.533,49.738,0.708,+2 +0 +0 +0,+0.42 +0.77 +0.64 +0.79,0.949,+0 +0 +0 +0,+0.89 +0.97 +0.97 +0.91
SF11,2026-09-05 17:30,7_20260905_151133.499,27.55,2.31,2.763,2.736,2.786,2.728,2.764,0.782,+0 +0 +0 +0,+0.97 +0.98 +0.56 +0.96,0.956,+0 +0 +0 +0,+0.99 +0.99 +0.92 +0.96,1.26,1.259,1.257,1.259,1.284,0.864,+0 +0 +0 +0,+0.81 +0.84 +0.92 +0.94,0.965,+0 +0 +0 +0,+0.97 +0.98 +0.98 +0.94,4.684,4.69,4.725,4.619,4.714,0.806,+0 +0 +0 +0,+0.95 +0.97 +0.70 +0.95,0.946,+0 +0 +0 +0,+0.97 +0.90 +0.96 +0.88,0.414,0.472,0.408,0.331,0.475,0.466,+2 +0 +0 -2,-0.19 +0.59 +0.41 +0.24,0.721,+0 +0 +0 +0,+0.85 +0.80 +0.76 +0.55,51.271,47.386,50.953,53.967,52.33,0.73,+0 +0 +0 +0,+0.50 +0.75 +0.75 +0.71,0.941,+0 +0 +0 +0,+0.91 +0.98 +0.97 +0.88
SF11,2026-09-06 12:46,0_20260906_124136.884,46.83,21.58,2.656,2.658,2.125,2.565,2.691,0.159,+0 -3 +3 +0,+0.93 +0.42 +0.02 +0.98,0.236,+0 -3 +0 +0,+0.97 +0.38 +0.47 +0.89,1.562,1.564,1.268,1.534,1.609,0.486,+0 -3 +0 +0,+0.87 -0.13 +0.74 +0.90,0.427,+0 -3 +0 +0,+0.70 -0.25 +0.84 +0.89,4.399,4.45,3.924,4.323,4.48,0.219,+0 +0 +0 +0,+0.87 +0.41 +0.27 +0.97,0.377,+0 +0 +0 +0,+0.92 +0.43 +0.64 +0.82,-0.107,-0.058,-0.338,-0.186,-0.026,0.32,-3 -1 -3 -2,-0.01 +0.23 +0.29 +0.24,0.574,+0 +0 +0 +0,+0.49 +0.52 +0.76 +0.56,74.593,75.234,56.529,74.138,80.544,0.468,+0 +1 +0 +0,+0.73 -0.58 +0.74 +0.85,0.325,-2 +3 +0 +0,+0.28 -0.64 +0.80 +0.86
