animal,logger_mac,session,slot,start_local,end_local,duration_s,duration_hms,firmware,hw,provenance,deglitch_required,commit_risk,measured_verdict,regime,regime_by_window,ticks_per_s,tick_removal_frac,raw_std_median_adc,glitch_samples_per_s,glitch_pct_samples,probe_seconds,probe_windows,noise_uV_median,bad_channel_candidates,fs,n_channels,n_samples,amplifier_gb,rtc_start,rtc_agrees_with_folder,has_info_rhd,time_dat_ok,analogin_ok,sd_capacity_kb,error_code,notes,path
SF12,FBED2F2321B1,3_20260901_003050.862,3,2026-09-01 00:30:50.862,2026-09-01 04:57:36,16005.184,4:26:45,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",502.8,0.995,1148.0,1128.5,0.0882,30.0,5,11.29,,20000,64,320103680,40.973,2026-09-01 00:30:50,True,True,True,True,250347520,65536,,E:\3rd_rat_spikes\SF12\FBED2F2321B1\3_20260901_003050.862
SF12,FBED2F2321B1,4_20260901_054714.722,4,2026-09-01 05:47:14.722,2026-09-01 05:49:04,109.99,0:01:50,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",261.9,1.0,1021.0,763.8,0.0597,30.0,5,8.03,,20000,64,2199808,0.282,2026-09-01 05:47:14,True,True,True,True,250347520,65536,,E:\3rd_rat_spikes\SF12\FBED2F2321B1\4_20260901_054714.722
SF7,D0DBEFEF3111,0_20260831_185816.804,0,2026-08-31 18:58:16.804,2026-08-31 18:58:50,33.869,0:00:34,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),clean,normal,"normal,normal,normal,normal,normal",0.5,1.0,619.0,320.63,0.025,30.0,5,11.99,,20000,64,677376,0.087,2026-08-31 18:58:16,True,True,True,True,1000144896,65536,measured clean on the probe window despite pre-FM65 firmware (de-glitch anyway),E:\3rd_rat_spikes\SF7\D0DBEFEF3111\0_20260831_185816.804
SF7,D0DBEFEF3111,1_20260831_185904.795,1,2026-08-31 18:59:04.795,2026-09-01 00:20:35,19290.982,5:21:31,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),ambiguous,normal,"normal,normal,normal,normal,normal",6.23,1.0,788.0,645.1,0.0504,30.0,5,12.95,,20000,64,385819648,49.385,2026-08-31 18:59:04,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\1_20260831_185904.795
SF7,D0DBEFEF3111,2_20260901_002100.939,2,2026-09-01 00:21:00.939,2026-09-01 05:41:08,19207.104,5:20:07,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",13.0,0.975,983.0,633.27,0.0495,30.0,5,12.43,,20000,64,384142080,49.17,2026-09-01 00:21:00,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\2_20260901_002100.939
SF7,D0DBEFEF3111,3_20260901_054126.846,3,2026-09-01 05:41:26.846,2026-09-01 06:36:24,3297.357,0:54:57,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",13.1,0.94,895.0,760.33,0.0594,30.0,5,15.42,,20000,64,65947136,8.441,2026-09-01 05:41:26,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\3_20260901_054126.846
SF7,D0DBEFEF3111,4_20260901_074925.529,4,2026-09-01 07:49:25.529,2026-09-01 07:50:43,77.965,0:01:18,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),ambiguous,normal,"normal,normal,normal,normal,normal",1.6,1.0,650.0,367.4,0.0287,30.0,5,10.88,,20000,64,1559296,0.2,2026-09-01 07:49:25,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\4_20260901_074925.529
SF7,D0DBEFEF3111,5_20260901_075052.875,5,2026-09-01 07:50:52.875,2026-09-01 12:54:27,18214.746,5:03:35,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",16.63,1.0,1196.0,760.93,0.0594,30.0,5,8.49,,20000,64,364294912,46.63,2026-09-01 07:50:52,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\5_20260901_075052.875
SF7,D0DBEFEF3111,6_20260901_125442.165,6,2026-09-01 12:54:42.165,2026-09-01 17:11:59,15437.517,4:17:18,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",21.1,1.0,1002.0,833.97,0.0652,30.0,5,8.7,,20000,64,308750336,39.52,2026-09-01 12:54:42,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\6_20260901_125442.165
SF7,D0DBEFEF3111,7_20260901_171210.814,7,2026-09-01 17:12:10.814,2026-09-01 18:19:43,4052.851,1:07:33,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),ambiguous,normal,"normal,normal,normal,normal,normal",9.07,0.787,786.0,686.07,0.0536,30.0,5,13.87,,20000,64,81057024,10.375,2026-09-01 17:12:10,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF7\D0DBEFEF3111\7_20260901_171210.814
