animal,window,session,channel,spike_band_mad_adc,theta_ratio,spindle_ratio,delta_frac,log_gamma,swr_rate_per_min,swr_peak_freq_hz,swr_dur_ms,swr_peak_z
SF11,rest night,12_20260904_202856.246,61,48.5,0.441,0.663,23.174,2.66,13.4,152.6,25.6,4.9
SF11,rest night,12_20260904_202856.246,62,48.9,0.625,0.827,18.301,2.957,44.8,153.8,28.8,5.9
SF11,rest night,12_20260904_202856.246,63,45.8,0.488,0.707,22.143,2.618,14.3,152.6,25.6,5.0
SF11,rest day,3_20260905_094205.930,0,49.8,0.494,0.641,21.795,2.686,11.8,155.0,26.4,4.9
SF11,rest day,3_20260905_094205.930,1,46.1,0.749,0.79,14.779,2.592,28.8,155.0,30.4,5.7
SF11,rest day,3_20260905_094205.930,2,49.3,0.51,0.664,20.634,2.701,19.2,154.4,28.0,5.2
SF11,rest day,3_20260905_094205.930,3,45.0,0.772,0.798,15.295,2.924,44.6,153.8,31.2,6.3
SF11,rest day,3_20260905_094205.930,4,51.4,0.432,0.603,22.76,2.65,14.3,151.4,25.6,5.0
SF11,rest day,3_20260905_094205.930,5,51.2,0.625,0.755,16.859,2.938,12.7,155.0,28.0,7.6
SF11,rest day,3_20260905_094205.930,6,55.0,0.451,0.667,21.45,2.694,11.8,153.8,24.0,5.2
SF11,rest day,3_20260905_094205.930,7,53.5,0.537,0.703,19.197,2.909,13.8,155.0,28.4,6.3
SF11,rest day,3_20260905_094205.930,8,59.5,0.473,0.708,20.443,2.735,14.1,153.8,24.0,4.9
SF11,rest day,3_20260905_094205.930,9,58.3,0.434,0.638,22.441,2.682,12.0,152.6,24.8,5.0
SF11,rest day,3_20260905_094205.930,10,46.0,0.449,0.63,21.847,2.549,11.3,151.4,24.8,5.2
SF11,rest day,3_20260905_094205.930,11,58.6,0.518,0.747,19.77,2.778,13.2,155.0,24.0,5.0
SF11,rest day,3_20260905_094205.930,12,54.4,0.475,0.65,20.633,2.538,12.3,153.8,26.4,5.3
SF11,rest day,3_20260905_094205.930,13,56.6,0.418,0.608,23.059,2.674,15.3,153.8,24.8,4.9
SF11,rest day,3_20260905_094205.930,14,53.7,0.571,0.708,18.683,2.322,8.5,153.8,28.8,6.4
SF11,rest day,3_20260905_094205.930,15,50.2,0.457,0.628,21.707,2.685,14.8,153.8,24.8,4.9
SF11,rest day,3_20260905_094205.930,16,52.6,0.45,0.61,22.584,2.68,9.8,152.6,25.6,4.8
SF11,rest day,3_20260905_094205.930,17,48.8,0.668,0.738,17.705,2.505,15.6,155.0,27.2,5.2
SF11,rest day,3_20260905_094205.930,18,58.9,0.425,0.627,22.572,2.694,12.5,155.0,24.0,5.1
SF11,rest day,3_20260905_094205.930,19,49.8,0.626,0.739,18.12,2.804,26.5,155.0,30.4,5.7
SF11,rest day,3_20260905_094205.930,20,58.8,0.47,0.712,20.362,2.733,9.9,155.0,22.4,4.9
SF11,rest day,3_20260905_094205.930,21,47.7,0.664,0.76,17.148,2.837,37.9,153.8,30.4,5.7
SF11,rest day,3_20260905_094205.930,22,57.4,0.42,0.609,23.012,2.68,13.3,153.8,24.8,5.0
SF11,rest day,3_20260905_094205.930,23,55.2,0.462,0.627,21.539,2.71,10.8,155.0,24.8,4.8
SF11,rest day,3_20260905_094205.930,24,52.8,0.435,0.597,22.99,2.68,14.1,152.6,25.6,4.8
SF11,rest day,3_20260905_094205.930,25,45.8,0.588,0.706,19.433,2.705,23.0,153.8,28.0,5.4
SF11,rest day,3_20260905_094205.930,26,49.6,0.516,0.659,21.262,2.689,14.1,152.6,25.6,4.9
SF11,rest day,3_20260905_094205.930,27,58.4,0.437,0.658,22.163,2.694,13.0,153.8,24.4,4.8
SF11,rest day,3_20260905_094205.930,28,52.9,0.564,0.696,19.413,2.731,20.6,155.0,28.8,5.3
SF11,rest day,3_20260905_094205.930,29,49.8,0.545,0.674,21.025,2.707,16.3,153.8,26.4,5.0
SF11,rest day,3_20260905_094205.930,30,45.1,0.687,0.772,16.635,2.875,24.3,156.2,28.0,5.3
SF11,rest day,3_20260905_094205.930,31,54.6,0.415,0.598,22.568,2.689,11.4,153.8,24.8,4.9
SF11,rest day,3_20260905_094205.930,32,38.1,0.627,0.738,18.228,2.808,44.0,153.8,31.2,5.9
SF11,rest day,3_20260905_094205.930,33,51.3,0.518,0.627,22.256,2.724,15.5,151.4,24.8,5.0
SF11,rest day,3_20260905_094205.930,34,46.0,0.756,0.811,15.562,2.945,46.5,153.8,32.0,6.4
SF11,rest day,3_20260905_094205.930,35,53.3,0.635,0.694,19.167,2.763,16.0,155.6,28.8,5.1
SF11,rest day,3_20260905_094205.930,36,48.4,0.653,0.718,18.703,2.772,28.5,152.6,29.6,5.8
SF11,rest day,3_20260905_094205.930,37,57.4,0.442,0.597,24.003,2.729,11.5,151.4,24.8,4.8
SF11,rest day,3_20260905_094205.930,38,50.2,0.542,0.645,21.342,2.718,9.3,153.8,26.4,4.8
SF11,rest day,3_20260905_094205.930,39,55.2,0.433,0.593,23.929,2.699,15.2,152.6,26.0,4.8
SF11,rest day,3_20260905_094205.930,40,51.8,0.453,0.603,23.235,2.712,16.4,152.6,25.6,4.9
SF11,rest day,3_20260905_094205.930,41,53.2,0.508,0.622,22.629,2.724,9.6,151.4,24.0,4.7
SF11,rest day,3_20260905_094205.930,42,56.4,0.438,0.597,23.603,2.686,13.4,153.2,26.0,4.9
SF11,rest day,3_20260905_094205.930,43,49.4,0.593,0.679,20.127,2.735,13.1,156.2,26.4,5.2
SF11,rest day,3_20260905_094205.930,44,51.0,0.475,0.606,23.291,2.708,12.7,152.6,26.4,4.8
SF11,rest day,3_20260905_094205.930,45,42.6,0.715,0.772,16.524,2.874,41.2,153.8,31.2,6.2
SF11,rest day,3_20260905_094205.930,46,48.5,0.565,0.657,21.106,2.728,21.4,153.2,27.2,5.1
SF11,rest day,3_20260905_094205.930,47,48.6,0.572,0.707,19.125,2.751,24.2,153.8,29.6,5.5
SF11,rest day,3_20260905_094205.930,48,44.2,0.497,0.641,21.728,2.532,13.4,153.2,27.2,4.9
SF11,rest day,3_20260905_094205.930,49,48.2,0.666,0.741,17.791,2.808,25.1,155.0,29.6,5.6
SF11,rest day,3_20260905_094205.930,50,48.8,0.438,0.616,22.548,2.624,11.5,152.6,26.4,4.9
SF11,rest day,3_20260905_094205.930,51,45.2,0.749,0.807,15.513,2.97,49.0,153.8,30.4,6.1
SF11,rest day,3_20260905_094205.930,52,47.7,0.447,0.632,22.635,2.577,12.4,152.6,25.6,4.9
SF11,rest day,3_20260905_094205.930,53,46.0,0.497,0.638,22.686,2.662,12.2,153.2,24.4,4.9
SF11,rest day,3_20260905_094205.930,54,51.2,0.432,0.627,22.518,2.632,11.8,153.8,24.8,4.8
SF11,rest day,3_20260905_094205.930,55,44.9,0.673,0.76,17.405,2.852,40.1,153.8,29.6,5.8
SF11,rest day,3_20260905_094205.930,56,50.8,0.46,0.618,22.634,2.661,10.7,153.8,24.0,4.8
SF11,rest day,3_20260905_094205.930,57,49.2,0.448,0.649,21.975,2.617,10.7,151.4,24.8,4.7
SF11,rest day,3_20260905_094205.930,58,46.5,0.543,0.669,21.336,2.677,13.3,153.8,26.4,4.9
SF11,rest day,3_20260905_094205.930,59,52.1,0.59,0.705,19.932,2.732,16.2,156.9,27.6,5.2
SF11,rest day,3_20260905_094205.930,60,46.8,0.594,0.696,19.78,2.728,26.0,155.0,29.6,5.4
SF11,rest day,3_20260905_094205.930,61,49.5,0.476,0.62,22.418,2.676,16.0,153.8,25.6,4.8
SF11,rest day,3_20260905_094205.930,62,47.2,0.722,0.786,16.748,2.902,37.4,153.8,29.6,6.1
SF11,rest day,3_20260905_094205.930,63,46.8,0.569,0.681,19.937,2.646,14.9,155.0,26.4,5.0
SF12,active night,8_20260904_203130.725,0,120.1,6.882,0.095,4.391,3.193,33.8,157.5,26.4,5.7
SF12,active night,8_20260904_203130.725,1,111.2,7.526,0.082,3.895,3.103,34.1,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,2,135.2,5.913,0.117,4.589,3.32,26.2,159.9,24.8,5.5
SF12,active night,8_20260904_203130.725,3,111.2,7.522,0.083,3.901,3.103,33.5,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,4,117.0,6.652,0.097,4.308,3.14,33.4,157.5,26.0,5.9
SF12,active night,8_20260904_203130.725,5,111.2,7.525,0.082,3.906,3.103,33.9,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,6,117.2,6.679,0.092,4.453,2.979,33.7,157.5,26.4,5.8
SF12,active night,8_20260904_203130.725,7,120.7,6.485,0.102,4.421,3.2,32.3,157.5,26.4,5.9
SF12,active night,8_20260904_203130.725,8,112.4,6.735,0.094,4.34,3.042,33.5,157.5,26.4,5.8
SF12,active night,8_20260904_203130.725,9,119.1,6.679,0.094,4.506,3.013,33.0,158.7,25.6,5.8
SF12,active night,8_20260904_203130.725,10,111.5,6.704,0.095,4.362,3.036,33.6,156.2,26.4,5.8
SF12,active night,8_20260904_203130.725,11,119.1,6.531,0.093,4.636,2.949,32.9,157.5,26.4,5.7
SF12,active night,8_20260904_203130.725,12,110.5,8.264,0.077,3.583,3.056,32.9,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,13,114.7,6.716,0.094,4.437,3.046,34.0,156.2,25.6,5.8
SF12,active night,8_20260904_203130.725,14,110.3,8.264,0.077,3.578,3.054,33.6,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,15,120.8,6.061,0.11,4.802,3.251,31.5,157.5,26.4,5.8
SF12,active night,8_20260904_203130.725,16,109.7,7.476,0.085,3.716,2.982,33.5,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,17,110.5,8.276,0.076,3.566,3.056,33.2,156.9,25.6,5.8
SF12,active night,8_20260904_203130.725,18,110.5,7.281,0.085,3.968,2.963,34.0,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,19,122.6,5.179,0.126,5.429,3.391,32.0,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,20,115.9,6.848,0.088,4.488,2.942,33.7,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,21,113.7,6.537,0.092,4.517,3.151,33.3,157.5,26.4,6.0
SF12,active night,8_20260904_203130.725,22,112.8,7.116,0.087,4.236,2.999,34.1,156.2,25.6,5.7
SF12,active night,8_20260904_203130.725,23,113.4,6.523,0.092,4.534,3.15,33.5,157.5,26.4,6.0
SF12,active night,8_20260904_203130.725,24,113.7,7.19,0.087,4.203,3.059,34.4,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,25,123.9,7.021,0.096,4.133,3.252,30.9,158.7,24.8,5.6
SF12,active night,8_20260904_203130.725,26,121.3,6.248,0.106,4.67,3.279,32.3,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,27,116.0,6.962,0.087,4.398,2.961,33.0,157.5,26.4,5.8
SF12,active night,8_20260904_203130.725,28,129.3,7.012,0.096,3.986,3.26,28.4,158.7,24.8,5.6
SF12,active night,8_20260904_203130.725,29,129.3,5.404,0.122,5.257,3.369,27.6,158.7,24.8,5.6
SF12,active night,8_20260904_203130.725,30,118.5,3.313,0.199,6.517,3.665,30.6,157.5,26.4,5.8
SF12,active night,8_20260904_203130.725,31,115.4,7.11,0.088,4.29,3.032,33.8,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,32,120.7,3.068,0.209,7.405,3.689,30.9,157.5,26.4,5.6
SF12,active night,8_20260904_203130.725,33,112.1,7.62,0.078,4.007,2.957,33.8,156.2,26.4,5.8
SF12,active night,8_20260904_203130.725,34,113.5,7.898,0.086,3.561,3.244,30.7,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,35,110.2,7.473,0.083,3.948,3.096,33.0,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,36,113.6,7.885,0.087,3.578,3.248,30.7,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,37,112.7,7.651,0.078,3.981,2.961,33.7,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,38,113.7,7.904,0.086,3.559,3.249,30.9,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,39,116.0,7.22,0.081,4.16,2.931,31.9,157.5,26.4,5.8
SF12,active night,8_20260904_203130.725,40,114.9,7.598,0.079,3.929,2.951,33.5,157.5,26.4,5.8
SF12,active night,8_20260904_203130.725,41,115.0,7.793,0.078,3.881,2.98,34.0,157.5,26.0,5.8
SF12,active night,8_20260904_203130.725,42,118.5,7.089,0.082,4.15,2.931,33.0,157.5,26.0,5.7
SF12,active night,8_20260904_203130.725,43,110.8,8.056,0.078,3.938,3.11,33.5,157.5,26.4,5.8
SF12,active night,8_20260904_203130.725,44,110.0,8.264,0.077,3.561,3.053,33.3,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,45,110.4,8.043,0.079,3.94,3.108,33.8,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,46,109.2,8.252,0.077,3.581,3.047,33.4,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,47,119.9,5.031,0.128,5.603,3.385,30.9,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,48,109.2,7.706,0.084,3.765,3.034,33.8,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,49,127.5,6.665,0.1,4.387,3.305,29.4,158.7,24.8,5.6
SF12,active night,8_20260904_203130.725,50,113.0,7.343,0.083,4.118,2.969,34.4,157.5,26.0,5.8
SF12,active night,8_20260904_203130.725,51,116.9,6.326,0.105,4.499,3.295,32.1,156.2,25.6,5.7
SF12,active night,8_20260904_203130.725,52,110.0,7.124,0.084,4.257,2.932,34.0,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,53,114.1,7.654,0.082,3.946,3.04,33.7,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,54,111.7,7.222,0.083,4.188,2.948,33.9,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,55,126.0,7.435,0.09,3.873,3.255,28.6,159.3,24.8,5.6
SF12,active night,8_20260904_203130.725,56,113.2,7.498,0.082,4.026,2.989,34.0,157.5,26.4,5.7
SF12,active night,8_20260904_203130.725,57,111.9,6.969,0.085,4.353,2.924,33.3,157.5,25.6,5.8
SF12,active night,8_20260904_203130.725,58,116.6,7.757,0.084,3.791,3.139,33.8,157.5,25.6,5.9
SF12,active night,8_20260904_203130.725,59,120.6,6.715,0.099,4.473,3.287,30.9,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,60,116.6,7.381,0.09,3.948,3.219,32.8,157.5,25.6,5.7
SF12,active night,8_20260904_203130.725,61,113.5,7.537,0.083,4.032,3.016,34.0,157.5,26.0,5.8
SF12,active night,8_20260904_203130.725,62,121.6,7.609,0.088,3.736,3.231,29.8,157.5,25.6,5.6
SF12,active night,8_20260904_203130.725,63,115.5,7.566,0.087,3.952,3.16,33.3,157.5,26.4,5.8
SF12,rest night,8_20260904_203130.725,0,46.2,1.586,0.468,12.658,2.894,27.2,155.0,26.4,5.2
SF12,rest night,8_20260904_203130.725,1,30.4,1.469,0.452,13.051,2.877,37.0,159.9,29.6,7.3
SF12,rest night,8_20260904_203130.725,2,51.5,1.658,0.484,11.959,3.06,50.7,161.1,33.6,9.1
SF12,rest night,8_20260904_203130.725,3,30.3,1.468,0.454,13.116,2.877,38.1,158.7,29.6,7.3
SF12,rest night,8_20260904_203130.725,4,36.7,1.405,0.454,13.965,2.809,30.7,152.6,26.4,5.6
SF12,rest night,8_20260904_203130.725,5,30.3,1.469,0.453,13.116,2.876,37.6,159.9,29.6,7.2
SF12,rest night,8_20260904_203130.725,6,36.2,1.133,0.43,16.433,2.625,22.8,150.1,27.2,5.0
SF12,rest night,8_20260904_203130.725,7,40.8,1.496,0.47,13.169,2.889,29.0,155.0,26.8,5.7
SF12,rest night,8_20260904_203130.725,8,29.0,1.217,0.44,15.642,2.697,25.7,150.1,26.4,5.0
SF12,rest night,8_20260904_203130.725,9,41.7,1.186,0.435,16.176,2.666,22.2,150.1,26.0,4.9
SF12,rest night,8_20260904_203130.725,10,29.1,1.208,0.443,15.684,2.692,25.6,151.4,26.4,5.1
SF12,rest night,8_20260904_203130.725,11,45.2,1.048,0.423,17.39,2.595,13.1,148.9,26.4,4.9
SF12,rest night,8_20260904_203130.725,12,27.3,1.494,0.44,13.372,2.804,39.0,158.7,28.0,6.3
SF12,rest night,8_20260904_203130.725,13,34.5,1.25,0.439,15.431,2.704,26.1,151.4,27.2,5.1
SF12,rest night,8_20260904_203130.725,14,27.3,1.494,0.439,13.356,2.802,39.9,158.7,28.0,6.3
SF12,rest night,8_20260904_203130.725,15,40.0,1.554,0.479,12.686,2.939,29.7,156.2,26.4,5.6
SF12,rest night,8_20260904_203130.725,16,36.4,1.41,0.433,13.957,2.635,23.2,151.4,27.2,4.9
SF12,rest night,8_20260904_203130.725,17,27.2,1.496,0.439,13.313,2.804,39.8,157.5,28.0,6.3
SF12,rest night,8_20260904_203130.725,18,36.1,1.309,0.426,14.803,2.625,21.8,148.9,27.2,5.0
SF12,rest night,8_20260904_203130.725,19,46.8,1.39,0.508,12.822,3.09,46.5,157.5,32.0,8.6
SF12,rest night,8_20260904_203130.725,20,35.3,1.143,0.414,16.87,2.6,24.3,148.9,27.2,5.0
SF12,rest night,8_20260904_203130.725,21,32.5,1.396,0.471,13.475,2.892,31.4,153.8,27.2,5.9
SF12,rest night,8_20260904_203130.725,22,33.3,1.259,0.424,15.517,2.672,27.0,148.9,27.2,5.1
SF12,rest night,8_20260904_203130.725,23,32.5,1.395,0.471,13.447,2.891,32.0,153.8,27.2,5.9
SF12,rest night,8_20260904_203130.725,24,34.7,1.365,0.435,14.705,2.74,28.7,151.4,27.2,5.1
SF12,rest night,8_20260904_203130.725,25,57.2,1.544,0.476,12.42,3.024,43.7,159.9,33.6,10.0
SF12,rest night,8_20260904_203130.725,26,40.9,1.645,0.478,12.129,2.972,37.0,157.5,28.0,5.9
SF12,rest night,8_20260904_203130.725,27,39.3,1.168,0.417,16.518,2.626,21.6,148.9,27.2,4.9
SF12,rest night,8_20260904_203130.725,28,56.5,1.737,0.472,11.186,3.073,47.2,161.1,34.4,9.5
SF12,rest night,8_20260904_203130.725,29,46.7,1.69,0.484,11.886,3.043,50.3,159.9,32.0,8.3
SF12,rest night,8_20260904_203130.725,30,42.6,1.288,0.579,12.374,3.252,40.4,152.6,28.0,5.8
SF12,rest night,8_20260904_203130.725,31,35.6,1.305,0.432,15.213,2.711,23.9,151.4,28.0,5.1
SF12,rest night,8_20260904_203130.725,32,49.2,1.316,0.549,13.186,3.258,36.4,152.6,27.2,5.7
SF12,rest night,8_20260904_203130.725,33,33.9,1.329,0.405,15.233,2.669,34.6,148.9,28.0,5.2
SF12,rest night,8_20260904_203130.725,34,30.1,1.745,0.451,11.727,2.924,38.3,157.5,27.2,5.8
SF12,rest night,8_20260904_203130.725,35,30.4,1.458,0.457,13.285,2.869,38.6,159.9,28.8,7.2
SF12,rest night,8_20260904_203130.725,36,30.0,1.747,0.453,11.724,2.928,37.4,157.5,27.2,5.9
SF12,rest night,8_20260904_203130.725,37,33.8,1.338,0.404,15.101,2.672,34.4,147.7,28.0,5.2
SF12,rest night,8_20260904_203130.725,38,30.1,1.752,0.452,11.599,2.928,37.9,158.7,27.2,5.9
SF12,rest night,8_20260904_203130.725,39,43.3,1.203,0.411,16.104,2.639,34.3,148.9,28.0,5.2
SF12,rest night,8_20260904_203130.725,40,44.4,1.295,0.407,15.406,2.661,32.8,148.9,28.8,5.2
SF12,rest night,8_20260904_203130.725,41,41.9,1.377,0.412,14.855,2.69,29.4,148.9,28.8,5.1
SF12,rest night,8_20260904_203130.725,42,45.5,1.183,0.408,16.06,2.64,33.7,148.9,28.8,5.2
SF12,rest night,8_20260904_203130.725,43,34.2,1.672,0.429,12.703,2.837,24.1,151.4,25.6,5.1
SF12,rest night,8_20260904_203130.725,44,27.3,1.496,0.438,13.305,2.8,38.8,157.5,28.0,6.3
SF12,rest night,8_20260904_203130.725,45,34.2,1.67,0.431,12.709,2.834,24.2,152.0,26.0,5.2
SF12,rest night,8_20260904_203130.725,46,27.5,1.488,0.441,13.438,2.795,39.6,157.5,28.0,6.3
SF12,rest night,8_20260904_203130.725,47,53.2,1.327,0.514,13.061,3.07,46.3,158.7,32.8,9.2
SF12,rest night,8_20260904_203130.725,48,37.6,1.494,0.438,13.47,2.709,27.4,151.4,27.2,5.0
SF12,rest night,8_20260904_203130.725,49,60.9,1.751,0.479,11.385,3.053,46.2,161.1,30.4,8.1
SF12,rest night,8_20260904_203130.725,50,39.9,1.277,0.415,15.583,2.656,24.5,148.9,28.0,5.0
SF12,rest night,8_20260904_203130.725,51,55.1,1.497,0.501,12.26,3.039,44.3,158.7,32.0,8.9
SF12,rest night,8_20260904_203130.725,52,38.5,1.194,0.413,16.224,2.622,27.1,148.9,27.2,5.0
SF12,rest night,8_20260904_203130.725,53,37.4,1.431,0.428,14.36,2.738,26.8,150.1,27.2,5.0
SF12,rest night,8_20260904_203130.725,54,36.8,1.231,0.414,15.971,2.637,27.2,148.9,27.2,5.1
SF12,rest night,8_20260904_203130.725,55,54.9,1.721,0.482,11.437,3.067,49.7,161.1,32.8,9.2
SF12,rest night,8_20260904_203130.725,56,37.9,1.336,0.419,15.066,2.683,25.5,148.9,27.2,5.1
SF12,rest night,8_20260904_203130.725,57,37.8,1.156,0.413,16.632,2.613,24.6,147.7,28.0,5.2
SF12,rest night,8_20260904_203130.725,58,40.7,1.59,0.444,12.834,2.841,25.9,152.6,27.2,5.2
SF12,rest night,8_20260904_203130.725,59,42.6,1.742,0.474,11.633,2.997,45.7,159.9,28.8,6.5
SF12,rest night,8_20260904_203130.725,60,40.1,1.706,0.467,11.933,2.942,31.9,153.8,26.4,5.5
SF12,rest night,8_20260904_203130.725,61,39.1,1.383,0.424,14.664,2.711,25.2,150.1,27.2,5.1
SF12,rest night,8_20260904_203130.725,62,54.2,1.595,0.48,11.846,3.017,45.2,159.9,32.8,9.4
SF12,rest night,8_20260904_203130.725,63,43.2,1.648,0.46,12.417,2.851,25.3,151.4,26.4,5.2
SF12,rest day,2_20260905_094454.579,0,46.9,0.862,0.819,13.739,2.938,33.2,152.6,28.0,5.6
SF12,rest day,2_20260905_094454.579,1,32.6,0.771,0.816,14.293,2.903,51.4,157.5,31.2,7.7
SF12,rest day,2_20260905_094454.579,2,51.4,0.934,0.813,12.686,3.098,66.6,157.5,35.2,9.5
SF12,rest day,2_20260905_094454.579,3,32.5,0.767,0.815,14.485,2.901,51.1,157.5,31.2,7.7
SF12,rest day,2_20260905_094454.579,4,37.9,0.788,0.785,15.017,2.846,39.1,153.8,28.8,5.7
SF12,rest day,2_20260905_094454.579,5,32.5,0.769,0.815,14.483,2.902,51.3,157.5,31.2,7.7
SF12,rest day,2_20260905_094454.579,6,42.1,0.673,0.715,17.504,2.663,20.2,152.6,28.8,5.2
SF12,rest day,2_20260905_094454.579,7,39.7,0.823,0.812,14.226,2.925,38.1,155.0,28.8,5.7
SF12,rest day,2_20260905_094454.579,8,30.7,0.711,0.744,16.681,2.745,30.7,153.8,28.8,5.6
SF12,rest day,2_20260905_094454.579,9,33.0,0.69,0.726,17.632,2.697,27.0,152.6,29.2,5.5
SF12,rest day,2_20260905_094454.579,10,30.7,0.706,0.746,16.724,2.74,31.1,153.8,28.0,5.6
SF12,rest day,2_20260905_094454.579,11,45.2,0.631,0.69,18.595,2.624,14.2,153.8,28.0,5.4
SF12,rest day,2_20260905_094454.579,12,28.6,0.812,0.814,14.343,2.85,46.5,156.2,29.6,6.6
SF12,rest day,2_20260905_094454.579,13,34.4,0.716,0.743,16.63,2.742,30.9,152.6,28.8,5.6
SF12,rest day,2_20260905_094454.579,14,28.6,0.813,0.814,14.258,2.849,46.4,157.5,29.6,6.7
SF12,rest day,2_20260905_094454.579,15,41.5,0.857,0.826,13.574,2.979,33.2,153.8,28.0,5.5
SF12,rest day,2_20260905_094454.579,16,33.9,0.809,0.777,14.544,2.738,29.2,153.8,28.0,5.8
SF12,rest day,2_20260905_094454.579,17,28.6,0.813,0.814,14.24,2.851,46.9,156.2,29.6,6.6
SF12,rest day,2_20260905_094454.579,18,37.1,0.744,0.743,15.836,2.688,22.8,152.6,27.2,5.4
SF12,rest day,2_20260905_094454.579,19,53.7,0.792,0.824,13.808,3.077,61.9,156.2,32.8,9.3
SF12,rest day,2_20260905_094454.579,20,40.7,0.676,0.702,18.173,2.64,14.8,153.2,28.0,5.5
SF12,rest day,2_20260905_094454.579,21,33.3,0.77,0.805,14.769,2.872,33.7,155.0,26.4,5.7
SF12,rest day,2_20260905_094454.579,22,35.0,0.72,0.729,16.622,2.714,23.8,153.8,28.8,5.5
SF12,rest day,2_20260905_094454.579,23,33.4,0.77,0.806,14.689,2.872,34.2,153.8,26.4,5.7
SF12,rest day,2_20260905_094454.579,24,36.6,0.764,0.756,15.946,2.783,31.1,152.6,28.0,5.6
SF12,rest day,2_20260905_094454.579,25,57.5,0.833,0.848,13.556,3.027,63.7,157.5,34.4,9.7
SF12,rest day,2_20260905_094454.579,26,43.3,0.9,0.828,13.042,3.01,39.4,155.6,28.4,6.0
SF12,rest day,2_20260905_094454.579,27,41.0,0.678,0.708,17.816,2.667,15.3,152.6,28.0,5.2
SF12,rest day,2_20260905_094454.579,28,56.8,0.957,0.824,11.818,3.092,67.6,157.5,35.2,9.5
SF12,rest day,2_20260905_094454.579,29,46.4,0.94,0.823,12.637,3.079,66.6,157.5,32.8,8.0
SF12,rest day,2_20260905_094454.579,30,42.4,0.835,0.763,12.752,3.314,47.7,152.6,29.6,5.9
SF12,rest day,2_20260905_094454.579,31,42.6,0.74,0.744,16.484,2.75,21.6,153.8,28.8,5.5
SF12,rest day,2_20260905_094454.579,32,45.2,0.833,0.735,13.516,3.343,46.6,152.6,27.2,5.5
SF12,rest day,2_20260905_094454.579,33,33.4,0.761,0.696,16.401,2.715,15.5,152.6,27.2,5.4
SF12,rest day,2_20260905_094454.579,34,29.0,0.911,0.771,13.396,2.894,31.0,153.8,28.0,5.8
SF12,rest day,2_20260905_094454.579,35,32.6,0.764,0.814,14.854,2.897,51.5,157.5,31.2,7.7
SF12,rest day,2_20260905_094454.579,36,29.1,0.91,0.772,13.42,2.898,31.6,153.8,28.0,5.8
SF12,rest day,2_20260905_094454.579,37,33.5,0.765,0.696,16.215,2.72,15.2,152.6,27.2,5.5
SF12,rest day,2_20260905_094454.579,38,29.0,0.914,0.773,13.137,2.899,31.7,152.6,28.0,5.8
SF12,rest day,2_20260905_094454.579,39,43.8,0.723,0.679,17.166,2.687,13.6,153.8,26.4,5.4
SF12,rest day,2_20260905_094454.579,40,40.9,0.757,0.696,16.492,2.709,14.5,153.8,26.4,5.4
SF12,rest day,2_20260905_094454.579,41,44.6,0.784,0.715,16.012,2.74,16.4,151.4,27.2,5.4
SF12,rest day,2_20260905_094454.579,42,43.9,0.723,0.676,16.743,2.686,10.7,152.6,28.0,5.4
SF12,rest day,2_20260905_094454.579,43,34.4,0.897,0.783,13.732,2.904,30.0,151.4,26.4,5.5
SF12,rest day,2_20260905_094454.579,44,28.8,0.816,0.813,14.198,2.852,46.1,157.5,30.4,6.6
SF12,rest day,2_20260905_094454.579,45,34.4,0.895,0.784,13.748,2.902,30.8,152.6,25.6,5.5
SF12,rest day,2_20260905_094454.579,46,28.9,0.811,0.814,14.461,2.848,46.5,157.5,30.4,6.6
SF12,rest day,2_20260905_094454.579,47,51.3,0.763,0.837,13.816,3.078,60.3,157.5,35.2,10.1
SF12,rest day,2_20260905_094454.579,48,37.2,0.835,0.767,14.391,2.779,28.8,152.6,28.0,5.7
SF12,rest day,2_20260905_094454.579,49,56.7,0.979,0.816,12.142,3.099,65.4,158.7,32.8,8.3
